interview_id,alter,geschlecht,einkommen,beruf,wahlabsicht,cluster_id,topic,topic_summary,umap_x,umap_y
A1A2_480,45.0,weiblich,2000-3000€,Fachangestellter,Die Linke,1,Bewertung der aktuellen Lage in Deutschland,"Der Befragte bewertet die allgemeine Situation in Deutschland als eher unbefriedigend und nennt insbesondere die schwierige wirtschaftliche Lage sowie den Aufwind rechter Parteien und Fremdenhass als Problemfelder. Er erklärt, viele Menschen sähen Deutschland im Abwärtstrend, weil internationale Konkurrenz die Automobilindustrie unter Druck setze. Auch er selbst sieht die Zukunft Deutschlands aktuell leicht bergab, bleibt aber optimistisch, dass mit passenden politischen Reaktionen das Land das Ruder herumreißen könne. Positiv hervorgehoben werden Deutschlands Reichtum, seine starke Industrie und gute Bildung.",5.8608193,11.565784
A1A2_480,45.0,weiblich,2000-3000€,Fachangestellter,Die Linke,1,Gründe für eine mögliche Krise Deutschlands,"Der Befragte sieht die aktuelle Krise in Deutschland als Ergebnis sowohl äußerer Faktoren (COVID-Pandemie, Inflation, Krieg in der Ukraine, Wahl Trumps) als auch hausgemachter politischer Fehler. Er glaubt, dass die deutsche Politik durch notwendige Kompromisse in der Lage ist, die Herausforderungen zu bewältigen. Im Hinblick auf die bevorstehenden Neuwahlen erwartet er politische Mehrheitsbildungen und betont, dass das Problem erkannt ist, nun aber die richtigen Mittel gefunden werden müssen. Konkret wünscht er sich von der neuen Regierung einen konsequenten Bürokratieabbau, starke Innovationsförderung, ein vereinfachtes Einwanderungsrecht und erleichterte Unternehmensgründungs- und Steuerprozesse sowie massive Investitionen in Infrastruktur, Innovation und Nachhaltigkeit.",5.8608193,11.565784
A1A2_480,45.0,weiblich,2000-3000€,Fachangestellter,Die Linke,1,Lösungen für die Probleme,"Der Interviewte lehnt mehrheitlich konservative, isolationistische und marktliberale Vorschläge für Deutschland ab und betrachtet diese als rückschrittlich, falsch oder populistisch. Er sieht Umverteilung als Teil eines politischen Maßnahmenpakets, aber nicht als alleinige Lösung. Kritisch bewertet er auch Steuerkürzungen und Sozialabbau. Stattdessen betont er die Bedeutung internationaler Zusammenarbeit, einen vorwärtsgewandten, progressiven Ansatz im Klimaschutz und eine humane Migrationspolitik in Kooperation mit europäischen Partnern und Herkunftsländern.",5.8608193,11.565784
A1A2_480,45.0,weiblich,2000-3000€,Fachangestellter,Die Linke,1,Allgemeines Weltbild,"Der Proband hält das Sprichwort 'Jeder ist seines eigenen Glückes Schmied' nur für privilegierte Menschen für zutreffend und sieht für die Mehrheit andere Voraussetzungen. Er erkennt den Sozialstaat als Basisunterstützung, fordert aber vor allem mehr Investitionen in Bildung zur Stärkung der Chancengleichheit. Er betont die Wichtigkeit von Respekt gegenüber Menschen, die anders sind, und unterstützt die erleichterte Änderung des Geschlechts im Ausweis, da dies niemanden benachteiligt. Bei den kommenden Bundestagswahlen würde er die Linke wählen, zieht aber auch die Grünen oder die FDP als Alternativen in Betracht.",-5.6138387,7.2365184
A1A2_480,45.0,weiblich,2000-3000€,Fachangestellter,Die Linke,1,Informationsquellen,"Der Proband hat keine inhaltlichen Aussagen gemacht und lediglich ""asdf"" geäußert.",18.02797,3.6493778
A3A3_402,38.0,männlich,2000-3000€,Sozialpädagogin,AfD,0,Bewertung der aktuellen Lage in Deutschland,"Der Proband bewertet die aktuelle Lage in Deutschland als miserabel und sieht besonders Wirtschaft und öffentliche Ordnung in einem schlechten Zustand. Er erklärt, dass die steigende Kriminalität dazu führt, dass sich Menschen unsicher fühlen, der gesellschaftliche Zusammenhalt zerbricht und die gemeinsame Kultur ausstirbt. Ursachen vieler Probleme macht er in der Ideologie der Grünen aus. Für die Zukunft Deutschlands hegt er große Sorgen.",7.6352754,10.19401
A3A3_402,38.0,männlich,2000-3000€,Sozialpädagogin,AfD,0,Gründe für eine mögliche Krise Deutschlands,"Der Befragte fordert eine komplett neue Regierung, die wieder vernünftig handelt und die Interessen der Bürger in den Mittelpunkt stellt, und hofft, dass die aktuelle Ampel-Koalition für ihre Politik bestraft wird. Er sieht die Corona-Pandemie als negativen externen Faktor an, kritisiert die bisherige Corona-Politik als auferlegt und verfehlt und wünscht sich einen völlig anderen Ansatz im Krisenmanagement. Für die Zukunft fordert er mehr Bürgernähe, Vernunft und Fleiß von der Politik.",7.6352754,10.19401
A3A3_402,38.0,männlich,2000-3000€,Sozialpädagogin,AfD,0,Lösungen für die Probleme,"Der Proband lehnt eine stärkere Umverteilung von Reichen zu Armen ab, da sie seiner Ansicht nach faule Menschen unterstützt, und plädiert stattdessen dafür, dass Arbeit sich wieder lohnen müsse – durch faire Löhne und niedrigere Steuern. Er betont, dass traditionelle Werte wie Fleiß und Pünktlichkeit vernachlässigt wurden und dauerhaft zu Wohlstand führen, und spricht sich für eine Rückbesinnung auf diese Werte aus. Zudem kritisiert er Klimaschutzregeln als ineffektiv angesichts globaler Emissionen, fordert deren Abschaffung und befürwortet generell eine stärkere Fokussierung politischer Entscheidungen auf nationale Interessen mit klarer Nutzenorientierung für die eigene Bevölkerung.",7.6352754,10.19401
A3A3_402,38.0,männlich,2000-3000€,Sozialpädagogin,AfD,0,Allgemeines Weltbild,"Der Proband wünscht sich für die deutsche Politik eine stärkere Nutzenorientierung speziell in der Klimawandel- und Migrationspolitik und spricht sich zudem dafür aus, kein Interesse an Kriegen in der Ukraine oder Taiwan zu haben.",-6.972502,6.804142
A3A3_402,38.0,männlich,2000-3000€,Sozialpädagogin,AfD,0,Informationsquellen,"Der Proband informiert sich vor allem über Facebook, die Tageszeitungen NZZ und Welt sowie Telegram-Chatgruppen, weil er dort politische Meinungen findet, die in den Mehrheitsmedien fehlen. Er bewertet die Berichterstattung von ARD und ZDF sehr negativ und lehnt sie als Propaganda ab. Social Media nutzt er gelegentlich, folgt dort aber nur manchmal politischen Profilen.",17.903439,1.7146733
